订单编号,订单状态,下单时间,支付时间,发货时间,商品型号,商品件数,商品ID,SKU ID
"	819546913877113",已关闭,11/5/2022 15:10,11/5/2022 15:11,11/6/2022 0:46,桃木褐30号,1,5730170770,85770385833
"	819547024665721",已关闭,11/5/2022 15:09,,,桃木褐30号,1,5730170770,85770385833
"	819555077130881",已关闭,11/5/2022 15:09,,,桃木褐36号,1,5730170770,85770385839
"	819546800942513",已完成,11/5/2022 15:07,11/5/2022 15:08,11/6/2022 0:46,狐狸灰34号,1,5730170770,85770539836
"	819554804176645",已完成,11/5/2022 15:07,11/5/2022 15:07,11/6/2022 0:46,狐狸灰32号,1,5730170770,85770539834
"	819546657044216",已完成,11/5/2022 15:07,11/5/2022 15:07,11/6/2022 0:46,狐狸灰32号,1,5730170770,85770539834
"	819546625009307",已关闭,11/5/2022 15:07,,,狐狸灰34号,1,5730170770,85770539836
"	819546897168120",已关闭,11/5/2022 15:07,,,狐狸灰32号,1,5730170770,85770539834
"	819546897113533",已完成,11/5/2022 15:07,11/5/2022 15:07,11/6/2022 0:46,狐狸灰32号,1,5730170770,85770539834
"	819546529378101",已关闭,11/5/2022 15:06,11/5/2022 15:06,,狐狸灰34号,1,5730170770,85770539836
"	819546816854206",已关闭,11/5/2022 15:05,,,桃木褐30号,1,5730170770,85770385833
"	819546832529933",已完成,11/5/2022 15:05,11/5/2022 15:05,11/6/2022 0:46,狐狸灰34号,1,5730170770,85770539836
"	819555188640047",已完成,11/5/2022 15:04,11/5/2022 15:05,11/6/2022 0:46,桃木褐30号,1,5730170770,85770385833
"	819555315206785",已完成,11/5/2022 15:03,11/5/2022 15:04,11/6/2022 0:46,桃木褐36号,1,5730170770,85770385839
"	819546544454860",已完成,11/5/2022 15:03,11/5/2022 15:03,11/6/2022 0:46,狐狸灰32号,1,5730170770,85770539834
"	819546655141346",已关闭,11/5/2022 15:01,11/5/2022 15:01,,狐狸灰34号,1,5730170770,85770539836
"	819554978748847",待发货,11/5/2022 15:01,11/5/2022 15:01,,狐狸灰34号,1,5730170770,85770539836
"	819555234825036",已发货,11/5/2022 15:00,11/5/2022 15:00,11/6/2022 0:46,桃木褐32号,1,5730170770,85770385835
"	819546495677800",已完成,11/5/2022 15:00,11/5/2022 15:00,11/6/2022 0:46,狐狸灰34号,1,5730170770,85770539836
"	819555026012801",已关闭,11/5/2022 15:00,,,桃木褐36号,1,5730170770,85770385839
"	819555203680810",已关闭,11/5/2022 15:00,11/5/2022 15:02,,狐狸灰32号,1,5730170770,85770539834
"	819555074235970",已关闭,11/5/2022 14:59,11/5/2022 14:59,,狐狸灰36号,1,5730170770,85770539838
"	819546766977578",已关闭,11/5/2022 14:59,11/5/2022 14:59,,桃木褐34号,1,5730170770,85770385837
"	819555121254197",已关闭,11/5/2022 14:58,11/5/2022 14:59,,桃木褐34号,1,5730170770,85770385837
"	819554817283050",已完成,11/5/2022 14:57,11/5/2022 14:57,11/6/2022 0:46,桃木褐32号,1,5730170770,85770385835
"	819546926102264",已关闭,11/5/2022 14:56,11/5/2022 14:56,,狐狸灰36号,1,5730170770,85770539838
"	819555105593080",已关闭,11/5/2022 14:56,,,狐狸灰36号,1,5730170770,85770539838
"	819546957985528",已关闭,11/5/2022 14:55,,,狐狸灰36号,1,5730170770,85770539838
"	819554816514238",已关闭,11/5/2022 14:54,11/5/2022 14:54,,桃木褐32号,1,5730170770,85770385835
"	819546493365369",已关闭,11/5/2022 14:53,,,桃木褐32号,1,5730170770,85770385835
"	819554280036101",已关闭,11/5/2022 14:53,11/5/2022 14:53,,桃木褐32号,1,5730170770,85770385835
"	819554928444977",已关闭,11/5/2022 14:53,,,狐狸灰36号,1,5730170770,85770539838
"	819555264404260",已发货,11/5/2022 14:52,11/5/2022 14:52,11/6/2022 0:46,桃木褐32号,1,5730170770,85770385835
"	819555248689799",已完成,11/5/2022 14:52,11/5/2022 14:52,11/6/2022 0:46,桃木褐34号,1,5730170770,85770385837
"	819555248626325",已发货,11/5/2022 14:52,11/5/2022 14:52,11/6/2022 0:46,桃木褐30号,1,5730170770,85770385833
"	819554800212629",已关闭,11/5/2022 14:51,,,桃木褐30号,1,5730170770,85770385833
"	819546748103422",已关闭,11/5/2022 14:51,,,桃木褐30号,1,5730170770,85770385833
"	819555135816578",已关闭,11/5/2022 14:49,11/5/2022 14:50,,狐狸灰36号,1,5730170770,85770539838
"	819546620129130",已发货,11/5/2022 14:49,11/5/2022 14:49,11/6/2022 0:46,桃木褐30号,1,5730170770,85770385833
"	819555167636204",已关闭,11/5/2022 14:49,,,桃木褐34号,1,5730170770,85770385837
"	819555200273132",已关闭,11/5/2022 14:48,,,桃木褐34号,1,5730170770,85770385837
"	819546445558045",已完成,11/5/2022 14:48,11/5/2022 14:49,11/6/2022 0:46,狐狸灰32号,1,5730170770,85770539834
"	819546875969409",已完成,11/5/2022 14:47,11/5/2022 14:47,11/6/2022 0:46,狐狸灰34号,1,5730170770,85770539836
"	819554862750977",已发货,11/5/2022 14:47,11/5/2022 14:47,11/6/2022 17:20,狐狸灰32号,1,5730170770,85770539834
"	819554738116993",已发货,11/5/2022 14:46,11/5/2022 15:01,11/6/2022 0:46,狐狸灰32号,1,5730170770,85770539834
"	819546350565263",已发货,11/5/2022 14:46,11/5/2022 14:46,11/6/2022 0:46,桃木褐32号,1,5730170770,85770385835
"	819554942180483",已完成,11/5/2022 14:45,11/5/2022 14:45,11/6/2022 0:46,狐狸灰36号,1,5730170770,85770539838
"	819546506373234",已发货,11/5/2022 14:45,11/5/2022 14:51,11/6/2022 17:24,桃木褐30号,1,5730170770,85770385833
"	819554798503627",已完成,11/5/2022 14:44,11/5/2022 14:44,11/6/2022 0:46,桃木褐30号,1,5730170770,85770385833
"	819546874997846",已完成,11/5/2022 14:44,11/5/2022 14:44,11/6/2022 0:46,狐狸灰34号,1,5730170770,85770539836
"	819554908853389",已完成,11/5/2022 14:42,11/5/2022 14:43,11/6/2022 0:46,狐狸灰34号,1,5730170770,85770539836
"	819545938574593",已完成,11/5/2022 14:40,11/5/2022 14:40,11/6/2022 17:20,桃木褐30号,1,5730170770,85770385833
"	819554766586994",已关闭,11/5/2022 14:40,,,狐狸灰32号,1,5730170770,85770539834
"	819554277970383",已完成,11/5/2022 14:40,11/5/2022 14:40,11/6/2022 0:46,狐狸灰30号,1,5730170770,85770539832
"	819546696574066",已关闭,11/5/2022 14:39,,,桃木褐32号,1,5730170770,85770385835
"	819546777034997",已完成,11/5/2022 14:39,11/5/2022 14:39,11/6/2022 0:46,狐狸灰30号,1,5730170770,85770539832
"	819546489500819",已发货,11/5/2022 14:39,11/5/2022 14:39,11/6/2022 16:39,桃木褐30号,1,5730170770,85770385833
"	819546268526773",已完成,11/5/2022 14:39,11/5/2022 14:39,11/6/2022 0:46,狐狸灰30号,1,5730170770,85770539832
"	819554624113832",已完成,11/5/2022 14:39,11/5/2022 14:39,11/6/2022 0:46,狐狸灰36号,1,5730170770,85770539838
"	819546250951559",已关闭,11/5/2022 14:38,11/5/2022 14:39,,狐狸灰32号,1,5730170770,85770539834
"	819546364556102",已关闭,11/5/2022 14:38,,,狐狸灰32号,1,5730170770,85770539834
"	819546776695268",已完成,11/5/2022 14:37,11/5/2022 14:38,11/6/2022 0:46,狐狸灰34号,1,5730170770,85770539836
"	819555068007298",已完成,11/5/2022 14:37,11/5/2022 14:37,11/6/2022 0:46,狐狸灰36号,1,5730170770,85770539838
"	819554703482866",已关闭,11/5/2022 14:36,,,桃木褐32号,1,5730170770,85770385835
"	819546488434048",已完成,11/5/2022 14:35,11/5/2022 14:45,11/6/2022 0:46,狐狸灰30号,1,5730170770,85770539832
"	819554639617930",已完成,11/5/2022 14:35,11/5/2022 14:35,11/6/2022 0:46,桃木褐32号,1,5730170770,85770385835
"	819554703005219",已完成,11/5/2022 14:34,11/5/2022 14:46,11/6/2022 0:46,狐狸灰30号,1,5730170770,85770539832
"	819555019281572",已关闭,11/5/2022 14:34,11/5/2022 14:54,,狐狸灰32号,1,5730170770,85770539834
"	819546487960392",待发货,11/5/2022 14:33,11/5/2022 14:33,,狐狸灰34号,1,5730170770,85770539836
"	819554588984338",待发货,11/5/2022 14:33,11/5/2022 14:33,,狐狸灰32号,1,5730170770,85770539834
"	819546170257459",已发货,11/5/2022 14:33,11/5/2022 14:33,11/15/2022 22:52,狐狸灰34号,1,5730170770,85770539836
"	819554751059317",已发货,11/5/2022 14:32,11/5/2022 14:32,11/6/2022 0:46,狐狸灰34号,1,5730170770,85770539836
"	819546234285599",已完成,11/5/2022 14:31,11/5/2022 14:32,11/6/2022 0:46,狐狸灰32号,1,5730170770,85770539834
"	819546614955403",已完成,11/5/2022 14:31,11/5/2022 14:31,11/6/2022 0:46,狐狸灰34号,1,5730170770,85770539836
"	819554826520293",已完成,11/5/2022 14:30,11/5/2022 14:31,11/6/2022 0:46,桃木褐30号,1,5730170770,85770385833
"	819554858174235",已完成,11/5/2022 14:30,11/5/2022 14:30,11/6/2022 0:25,桃木褐32号,1,5730170770,85770385835
"	819554874744714",已关闭,11/5/2022 14:30,11/5/2022 14:30,,桃木褐34号,1,5730170770,85770385837
"	819554508505660",已完成,11/5/2022 14:29,11/5/2022 14:29,11/6/2022 0:46,狐狸灰30号,1,5730170770,85770539832
"	819555001440178",已完成,11/5/2022 14:27,11/5/2022 14:27,11/6/2022 16:39,桃木褐34号,1,5730170770,85770385837
"	819546393410577",已完成,11/5/2022 14:27,11/5/2022 14:27,11/6/2022 0:46,狐狸灰34号,1,5730170770,85770539836
"	819554540358099",已完成,11/5/2022 14:26,11/5/2022 14:26,11/6/2022 0:46,狐狸灰30号,1,5730170770,85770539832
"	819554653110369",已关闭,11/5/2022 14:26,,,狐狸灰32号,1,5730170770,85770539834
"	819554825050489",已关闭,11/5/2022 14:25,,,狐狸灰30号,1,5730170770,85770539832
"	819546469705325",已关闭,11/5/2022 14:25,,,狐狸灰34号,1,5730170770,85770539836
"	819546232568956",已关闭,11/5/2022 14:25,,,狐狸灰32号,1,5730170770,85770539834
"	819546328195169",已关闭,11/5/2022 14:25,,,狐狸灰30号,1,5730170770,85770539832
"	819554732432377",已关闭,11/5/2022 14:25,11/5/2022 14:38,,桃木褐34号,1,5730170770,85770385837
"	819554460583662",已完成,11/5/2022 14:24,11/5/2022 14:25,11/6/2022 0:46,桃木褐32号,1,5730170770,85770385835
"	819546344662811",已关闭,11/5/2022 14:24,,,桃木褐30号,1,5730170770,85770385833
"	819554700172427",已完成,11/5/2022 14:24,11/5/2022 14:27,11/6/2022 0:46,桃木褐30号,1,5730170770,85770385833
"	819546232317549",已关闭,11/5/2022 14:24,,,狐狸灰36号,1,5730170770,85770539838
"	819554506986621",已完成,11/5/2022 14:23,11/5/2022 14:23,11/6/2022 0:46,狐狸灰32号,1,5730170770,85770539834
"	819483227126502",已完成,10/31/2022 23:26,10/31/2022 23:26,11/1/2022 15:59,桃木褐36号,1,5730170770,85770385839
"	819482868791214",待发货,10/31/2022 22:57,10/31/2022 23:04,,桃木褐36号,1,5730170770,85770385839
"	819482427506343",已关闭,10/31/2022 21:59,10/31/2022 21:59,,桃木褐34号,1,5730170770,85770385837
"	819482505427584",已完成,10/31/2022 21:45,10/31/2022 21:45,11/1/2022 15:59,桃木褐32号,1,5730170770,85770385835
"	819482223654160",已关闭,10/31/2022 21:23,,,狐狸灰36号,1,5730170770,85770539838
"	819481419361713",已完成,10/31/2022 20:22,10/31/2022 20:22,11/1/2022 15:59,桃木褐34号,1,5730170770,85770385837
"	819489721849873",已关闭,10/31/2022 20:02,,,桃木褐34号,1,5730170770,85770385837
"	819481538995653",已完成,10/31/2022 19:47,10/31/2022 19:47,11/1/2022 15:59,桃木褐34号,1,5730170770,85770385837
"	819481311803842",已完成,10/31/2022 19:40,10/31/2022 19:41,11/1/2022 15:59,桃木褐34号,1,5730170770,85770385837
"	819489438883799",已完成,10/31/2022 19:40,10/31/2022 19:41,11/1/2022 15:59,桃木褐36号,1,5730170770,85770385839
"	819489372738937",已完成,10/31/2022 19:32,10/31/2022 19:33,11/1/2022 15:59,桃木褐34号,1,5730170770,85770385837
"	819489598557060",已完成,10/31/2022 19:20,10/31/2022 19:27,11/1/2022 15:59,狐狸灰36号,1,5730170770,85770539838
"	819489260116528",已完成,10/31/2022 18:32,10/31/2022 18:32,11/1/2022 15:59,狐狸灰36号,1,5730170770,85770539838
"	819480511625776",已关闭,10/31/2022 18:22,,,狐狸灰36号,1,5730170770,85770539838
"	819480751531400",已完成,10/31/2022 17:46,10/31/2022 17:46,11/1/2022 15:59,桃木褐34号,1,5730170770,85770385837
"	819489090769957",已完成,10/31/2022 17:44,10/31/2022 17:44,11/1/2022 15:59,狐狸灰36号,1,5730170770,85770539838
"	819479999160364",已完成,10/31/2022 16:52,10/31/2022 16:53,11/1/2022 15:59,桃木褐34号,1,5730170770,85770385837
"	819488035052749",已完成,10/31/2022 16:48,10/31/2022 16:48,11/1/2022 15:59,桃木褐34号,1,5730170770,85770385837
"	819479483605237",已关闭,10/31/2022 16:46,10/31/2022 16:46,,桃木褐34号,1,5730170770,85770385837
"	819479580960618",已关闭,10/31/2022 16:43,10/31/2022 16:44,,桃木褐34号,1,5730170770,85770385837
"	819479997609432",已关闭,10/31/2022 16:42,10/31/2022 16:42,,狐狸灰36号,1,5730170770,85770539838
"	819479289082143",已关闭,10/31/2022 16:38,10/31/2022 16:38,,狐狸灰36号,1,5730170770,85770539838
"	819488209510311",已完成,10/31/2022 16:37,10/31/2022 16:37,11/1/2022 15:59,桃木褐34号,1,5730170770,85770385837
"	819479868761625",已完成,10/31/2022 16:30,10/31/2022 16:30,11/1/2022 15:59,狐狸灰34号,1,5730170770,85770539836
"	819487933760147",已关闭,10/31/2022 16:28,10/31/2022 16:29,,狐狸灰34号,1,5730170770,85770539836
"	819479287227331",已完成,10/31/2022 16:28,10/31/2022 16:30,11/1/2022 15:59,狐狸灰34号,1,5730170770,85770539836
"	819479594021095",已完成,10/31/2022 16:27,10/31/2022 18:05,11/1/2022 15:59,桃木褐30号,1,5730170770,85770385833
"	819479512743922",已关闭,10/31/2022 16:23,,,桃木褐30号,1,5730170770,85770385833
"	819479772543420",已关闭,10/31/2022 16:20,10/31/2022 16:21,,桃木褐30号,1,5730170770,85770385833
"	819488172955639",已关闭,10/31/2022 16:19,10/31/2022 16:19,,狐狸灰34号,1,5730170770,85770539836
"	819487915433506",已发货,10/31/2022 16:17,10/31/2022 16:18,11/1/2022 16:04,狐狸灰34号;桃木褐32号,1;1,5730170770;5730170770,85770539836;85770385835
"	819487963436228",已完成,10/31/2022 16:17,10/31/2022 16:18,11/1/2022 16:36,桃木褐32号,1,5730170770,85770385835
"	819479462379329",已完成,10/31/2022 16:17,10/31/2022 16:17,11/1/2022 16:36,狐狸灰34号,1,5730170770,85770539836
"	819487995698722",已关闭,10/31/2022 16:17,,,狐狸灰34号,1,5730170770,85770539836
"	819479365824728",已关闭,10/31/2022 16:16,,,桃木褐30号,1,5730170770,85770385833
"	819488253074978",已关闭,10/31/2022 16:15,10/31/2022 16:15,,桃木褐32号,1,5730170770,85770385835
"	819488253025826",已关闭,10/31/2022 16:14,,,桃木褐30号,1,5730170770,85770385833
"	819479061312259",已完成,10/31/2022 16:13,10/31/2022 16:13,11/1/2022 15:59,桃木褐30号,1,5730170770,85770385833
"	819479574541224",已关闭,10/31/2022 16:12,10/31/2022 16:14,,桃木褐30号,1,5730170770,85770385833
"	819487624085784",已完成,10/31/2022 16:12,10/31/2022 16:12,11/1/2022 15:59,狐狸灰34号,1,5730170770,85770539836
"	819479672450720",已完成,10/31/2022 16:12,11/1/2022 13:14,11/1/2022 15:59,桃木褐32号,1,5730170770,85770385835
"	819487512809982",已完成,10/31/2022 16:11,10/31/2022 16:12,11/1/2022 15:59,狐狸灰34号,1,5730170770,85770539836
"	819487704436869",已完成,10/31/2022 16:11,10/31/2022 16:12,11/1/2022 15:59,狐狸灰30号,1,5730170770,85770539832
"	819487930257095",已完成,10/31/2022 16:11,10/31/2022 16:11,11/1/2022 15:59,桃木褐30号,1,5730170770,85770385833
"	819488155492338",已关闭,10/31/2022 16:11,,,桃木褐32号,1,5730170770,85770385835
"	819447352813908",已关闭,10/28/2022 18:10,10/28/2022 18:10,,桃木褐36号,1,5730170770,85770385839
"	819453348201974",已关闭,10/28/2022 17:46,,,桃木褐36号,1,5730170770,85770385839
"	819453022800772",已关闭,10/28/2022 17:38,,,桃木褐36号,1,5730170770,85770385839
"	819444542566384",已关闭,10/28/2022 16:28,10/28/2022 16:28,,桃木褐36号,1,5730170770,85770385839
"	819444336126881",已关闭,10/28/2022 16:02,10/28/2022 16:02,,桃木褐34号,1,5730170770,85770385837
"	819452362103575",已完成,10/28/2022 15:40,10/28/2022 15:43,10/29/2022 17:09,桃木褐36号,1,5730170770,85770385839
"	819452198799973",已关闭,10/28/2022 15:30,,,桃木褐36号,1,5730170770,85770385839
"	819451072401743",已完成,10/28/2022 13:54,10/28/2022 13:58,10/29/2022 17:09,桃木褐36号,1,5730170770,85770385839
"	819451166039499",已完成,10/28/2022 13:40,10/28/2022 13:40,10/29/2022 17:09,桃木褐36号,1,5730170770,85770385839
"	819442654964118",已关闭,10/28/2022 13:35,,,桃木褐36号,1,5730170770,85770385839
"	819451342079869",已完成,10/28/2022 13:31,10/28/2022 13:31,10/29/2022 17:09,桃木褐36号,1,5730170770,85770385839
"	819442953905979",已完成,10/28/2022 13:28,10/28/2022 13:30,10/29/2022 17:09,狐狸灰36号,1,5730170770,85770539838
"	819450945833184",已完成,10/28/2022 13:27,10/28/2022 13:28,10/29/2022 17:09,狐狸灰36号,1,5730170770,85770539838
"	819450929877338",已完成,10/28/2022 13:27,10/28/2022 13:27,10/29/2022 17:09,桃木褐30号,1,5730170770,85770385833
"	819451308807446",已关闭,10/28/2022 13:24,10/28/2022 13:24,10/29/2022 17:09,桃木褐36号,1,5730170770,85770385839
"	819451096860777",已完成,10/28/2022 13:20,10/28/2022 13:20,10/29/2022 17:09,桃木褐36号,1,5730170770,85770385839
"	819450861258924",已关闭,10/28/2022 13:20,,,桃木褐36号,1,5730170770,85770385839
"	819442984675600",已完成,10/28/2022 13:19,10/28/2022 13:19,10/29/2022 17:09,桃木褐34号,1,5730170770,85770385837
"	819451032929900",已完成,10/28/2022 13:17,10/28/2022 13:28,10/29/2022 17:09,桃木褐34号,1,5730170770,85770385837
"	819451177355488",已关闭,10/28/2022 13:16,,,桃木褐36号,1,5730170770,85770385839
"	819442724629603",已关闭,10/28/2022 13:16,,,狐狸灰36号,1,5730170770,85770539838
"	819442870252700",已完成,10/28/2022 13:16,10/28/2022 13:16,10/29/2022 17:09,狐狸灰36号,1,5730170770,85770539838
"	819451049034907",已完成,10/28/2022 13:16,10/28/2022 13:20,10/31/2022 13:11,桃木褐34号,1,5730170770,85770385837
"	819442662482076",已关闭,10/28/2022 13:15,,,桃木褐36号,1,5730170770,85770385839
"	819451001882907",已关闭,10/28/2022 13:15,,,桃木褐34号,1,5730170770,85770385837
"	819450814537360",已完成,10/28/2022 13:15,10/28/2022 13:16,10/29/2022 17:09,桃木褐34号,1,5730170770,85770385837
"	819451258389716",已完成,10/28/2022 13:15,10/28/2022 13:15,10/31/2022 15:31,狐狸灰36号,1,5730170770,85770539838
"	819451290714392",已完成,10/28/2022 13:15,10/28/2022 13:15,11/6/2022 17:16,桃木褐36号,1,5730170770,85770385839
"	819451079837021",已关闭,10/28/2022 13:14,10/28/2022 13:15,,桃木褐34号,1,5730170770,85770385837
"	819451274316212",待发货,10/28/2022 13:14,10/28/2022 13:15,,桃木褐34号,1,5730170770,85770385837
"	819442456896238",已关闭,10/28/2022 13:14,10/28/2022 13:15,,桃木褐34号,1,5730170770,85770385837
"	819450877068312",已关闭,10/28/2022 13:14,,,桃木褐34号,1,5730170770,85770385837
"	819442918761627",已完成,10/28/2022 13:14,10/28/2022 13:18,10/29/2022 17:09,桃木褐30号,1,5730170770,85770385833
"	819450796329931",已关闭,10/28/2022 13:14,,,桃木褐30号,1,5730170770,85770385833
"	819442788810148",已关闭,10/28/2022 13:14,10/28/2022 13:16,,狐狸灰34号,1,5730170770,85770539836
"	819442650181319",已完成,10/28/2022 13:14,10/28/2022 13:14,10/29/2022 17:09,桃木褐32号,1,5730170770,85770385835
"	819442213860325",已关闭,10/28/2022 13:14,10/28/2022 13:16,,桃木褐32号,1,5730170770,85770385835
"	819450859935014",已关闭,10/28/2022 13:14,,,狐狸灰36号,1,5730170770,85770539838
"	819424667497926",已完成,10/27/2022 15:43,10/27/2022 15:43,10/27/2022 17:04,桃木褐34号,1,5730170770,85770385837
"	819424133980679",已完成,10/27/2022 15:14,10/27/2022 15:14,10/27/2022 15:38,桃木褐36号,1,5730170770,85770385839
"	819432634860981",已关闭,10/27/2022 15:13,,,桃木褐36号,1,5730170770,85770385839
"	819424246916533",已关闭,10/27/2022 15:13,,,桃木褐36号,1,5730170770,85770385839
"	819432313866133",已完成,10/27/2022 15:09,10/27/2022 15:13,10/27/2022 15:38,桃木褐36号,1,5730170770,85770385839
"	819432469793625",已完成,10/27/2022 15:00,10/27/2022 15:02,10/27/2022 15:38,狐狸灰36号,1,5730170770,85770539838
"	819432549025706",已完成,10/27/2022 14:57,10/27/2022 15:21,10/27/2022 15:38,狐狸灰36号,1,5730170770,85770539838
"	819432134656011",已关闭,10/27/2022 14:41,,,狐狸灰36号,1,5730170770,85770539838
"	819431743439112",已关闭,10/27/2022 14:20,10/27/2022 14:21,,桃木褐34号,1,5730170770,85770385837
"	819423482213749",已关闭,10/27/2022 14:16,,,狐狸灰36号,1,5730170770,85770539838
"	819431804995905",已完成,10/27/2022 14:14,10/27/2022 14:14,10/27/2022 15:38,狐狸灰36号,1,5730170770,85770539838
"	819432077434709",已完成,10/27/2022 14:13,10/27/2022 14:13,10/27/2022 15:38,桃木褐34号,1,5730170770,85770385837
"	819431741001070",已完成,10/27/2022 14:13,10/27/2022 14:13,10/30/2022 15:58,桃木褐34号,1,5730170770,85770385837
"	819431979964302",已完成,10/27/2022 14:13,10/27/2022 14:13,10/27/2022 15:38,狐狸灰36号,1,5730170770,85770539838
"	819431788431532",已完成,10/27/2022 14:12,10/27/2022 14:32,10/27/2022 15:38,桃木褐36号,1,5730170770,85770385839
"	819423559180352",已完成,10/27/2022 14:12,10/27/2022 14:13,10/27/2022 15:38,桃木褐34号,1,5730170770,85770385837
"	819432156748424",已关闭,10/27/2022 14:11,10/27/2022 14:12,,桃木褐34号,1,5730170770,85770385837
"	819423367643068",已关闭,10/27/2022 14:11,,,狐狸灰36号,1,5730170770,85770539838
"	819423414746102",已关闭,10/27/2022 14:10,,,桃木褐34号,1,5730170770,85770385837
"	819431770931950",已完成,10/27/2022 14:10,10/27/2022 14:10,10/27/2022 15:38,狐狸灰34号,1,5730170770,85770539836
"	819423542604970",已完成,10/27/2022 14:09,10/27/2022 14:10,10/27/2022 15:38,桃木褐34号,1,5730170770,85770385837
"	819423527712654",已关闭,10/27/2022 14:09,10/27/2022 14:09,,桃木褐36号,1,5730170770,85770385839
"	819423622540193",已完成,10/27/2022 14:09,10/27/2022 14:09,10/27/2022 15:38,狐狸灰34号,1,5730170770,85770539836
"	819432186942866",已完成,10/27/2022 14:08,10/27/2022 14:09,10/27/2022 15:38,狐狸灰34号,1,5730170770,85770539836
"	819423687730435",已关闭,10/27/2022 14:08,,,桃木褐34号,1,5730170770,85770385837
"	819431881727827",已关闭,10/27/2022 14:08,,,狐狸灰34号,1,5730170770,85770539836
"	819432124440562",已关闭,10/27/2022 14:08,,,桃木褐34号,1,5730170770,85770385837
"	819431705905588",已关闭,10/27/2022 14:08,,,桃木褐34号,1,5730170770,85770385837
"	819431818479788",已完成,10/27/2022 14:08,10/27/2022 14:08,10/27/2022 15:38,狐狸灰36号,1,5730170770,85770539838
"	819423366365011",已关闭,10/27/2022 14:08,,,桃木褐34号,1,5730170770,85770385837
"	819423687622642",已关闭,10/27/2022 14:08,,,狐狸灰34号,1,5730170770,85770539836
"	819423752185091",已完成,10/27/2022 14:08,10/27/2022 14:10,10/27/2022 15:38,狐狸灰34号,1,5730170770,85770539836
"	819431579797728",已关闭,10/27/2022 14:06,,,狐狸灰36号,1,5730170770,85770539838
"	819423306165954",已完成,10/27/2022 14:05,10/27/2022 15:31,10/27/2022 17:04,狐狸灰36号,1,5730170770,85770539838
"	819423365080842",已完成,10/27/2022 14:05,10/27/2022 14:05,10/28/2022 12:28,狐狸灰36号,1,5730170770,85770539838
"	819371494539250",已关闭,10/25/2022 22:18,,,狐狸灰36号,1,5730170770,85770539838
"	819371237207628",已关闭,10/25/2022 22:09,,,狐狸灰36号,1,5730170770,85770539838
"	819370724715425",已完成,10/25/2022 21:02,10/25/2022 21:02,10/27/2022 10:10,桃木褐36号,1,5730170770,85770385839
"	819379305634896",已关闭,10/25/2022 20:59,10/25/2022 20:59,,桃木褐36号,1,5730170770,85770385839
"	819371143229004",已关闭,10/25/2022 20:59,,,桃木褐36号,1,5730170770,85770385839
"	819379078565570",已完成,10/25/2022 20:59,10/25/2022 20:59,10/27/2022 10:10,桃木褐36号,1,5730170770,85770385839
"	819379224449301",已完成,10/25/2022 20:58,10/25/2022 20:59,10/27/2022 10:10,桃木褐36号,1,5730170770,85770385839
"	819370803832067",已关闭,10/25/2022 20:58,10/25/2022 20:58,,狐狸灰36号,1,5730170770,85770539838
"	819379450516481",已关闭,10/25/2022 20:56,10/25/2022 20:56,,桃木褐36号,1,5730170770,85770385839
"	819379046848844",已完成,10/25/2022 20:47,10/25/2022 20:47,10/27/2022 10:10,桃木褐36号,1,5730170770,85770385839
"	819370930433612",已关闭,10/25/2022 20:45,,,桃木褐36号,1,5730170770,85770385839
"	819370976259391",已完成,10/25/2022 20:33,10/25/2022 20:33,10/27/2022 10:43,桃木褐30号,1,5730170770,85770385833
"	819370655265117",已完成,10/25/2022 20:25,10/25/2022 20:27,10/27/2022 10:43,桃木褐30号,1,5730170770,85770385833
"	819370318035323",已完成,10/25/2022 20:20,10/25/2022 20:20,10/27/2022 10:10,桃木褐36号,1,5730170770,85770385839
"	819370366382715",已关闭,10/25/2022 20:19,,,桃木褐30号,1,5730170770,85770385833
"	819378770166452",已完成,10/25/2022 20:18,10/25/2022 20:28,10/27/2022 10:10,桃木褐36号,1,5730170770,85770385839
"	819370220300282",已关闭,10/25/2022 20:18,,,桃木褐36号,1,5730170770,85770385839
"	819378818025233",已关闭,10/25/2022 20:17,10/25/2022 20:17,,狐狸灰36号,1,5730170770,85770539838
"	819378786081333",已完成,10/25/2022 20:17,10/25/2022 20:17,10/27/2022 9:54,桃木褐32号,1,5730170770,85770385835
"	819378544086945",已完成,10/25/2022 20:17,10/25/2022 20:17,10/27/2022 9:48,狐狸灰34号,1,5730170770,85770539836
"	819370527354281",已关闭,10/25/2022 20:17,,,狐狸灰36号,1,5730170770,85770539838
"	819370605963912",已完成,10/25/2022 20:17,10/25/2022 20:17,10/28/2022 12:16,桃木褐36号,1,5730170770,85770385839
"	819370236031633",已完成,10/25/2022 20:17,10/25/2022 20:20,10/27/2022 10:43,桃木褐30号,1,5730170770,85770385833
"	819370252677469",已关闭,10/25/2022 20:16,,,桃木褐36号,1,5730170770,85770385839
"	819378543856247",已关闭,10/25/2022 20:16,,,桃木褐30号,1,5730170770,85770385833
"	819378834246263",已关闭,10/25/2022 20:16,,,桃木褐30号,1,5730170770,85770385833
"	819370104613370",已完成,10/25/2022 20:16,10/25/2022 20:17,10/27/2022 10:43,桃木褐30号,1,5730170770,85770385833
"	819370268239036",已完成,10/25/2022 20:16,10/25/2022 20:16,10/27/2022 10:01,桃木褐34号,1,5730170770,85770385837
